Year,Reporting Facility,Submission ID,Facility Sub Type,Facility Sub Type Grouping,Operator,COMPRESSOR (m3),PNEUMATICINSTRUMENT (m3),PNEAMATICPUMP (m3),FUGITIVE (m3),ROUTINEVENT (m3)
2021,ABBT0155248,31503006,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,0
2021,ABBT0128715,31497088,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,0
2021,ABBT0122688,31495668,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,0
2021,ABBT0135784,31498785,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,0
2021,ABBT0121647,31495456,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,0
2021,ABBT0124489,31496073,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,0
2021,ABBT0112791,31493776,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,0
2021,ABBT0145961,31500983,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,0
2021,ABBT0128252,31496981,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,0
2021,ABBT0115944,31494392,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,0
2021,ABBT0148355,31501579,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,0
2021,ABBT0118982,31494938,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,0
2021,ABBT0119013,31494947,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,0
2021,ABBT0130707,31497614,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,0
2021,ABBT0114923,31494238,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,0
2021,ABBT0108846,31493168,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,0
2021,ABBT0142393,31500239,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,0
2021,ABBT0136252,31498901,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,0
2021,ABBT0107754,31493077,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,0
2021,ABBT0107763,31493079,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,0
2021,ABBT0125427,31496291,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,0
2021,ABBT0117736,31494737,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,0
2021,ABBT0113317,31493871,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,0
2021,ABBT0133490,31498234,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,0
2021,ABBT0112819,31493786,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,0
2021,ABBT0113801,31493975,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,0
2021,ABBT0117651,31494702,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,0
2021,ABBT0155131,31502955,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,902,0
2021,ABBT0129887,31497377,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,0
2021,ABBT0124517,31496082,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,0
2021,ABBT0155958,31503216,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,0
2021,ABBT0128294,31496999,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,0
