Kermit FacilityID,Operator,KERMIT Status,Kermit Facility Name,Kermit Facility Type Code,Survey Date,Survey Method,Submission Survey ID - Operator,Unique Survey ID - BIL Generate,Survey Type,Survey Sequence1,Number of Surveys Submitted Per Facility,Number Surveys Required Proation/Days Active,Days Between Surveys,Ambient Temp C,Wind Speed MS,Precipitation,Detection Instr Make,Emitting Device Ind,FLIR Instr Model,Stor Controlled Ind,Stor Uncontrolled Ind,Fac Pressurized Days,Leak Detection Ind,Leak Unique ID - Operator,Leak ID Unique _ BCOGC,Leak H2S Ind,Leak Building Ind,Leak Building Det Ind,Process Block,Process Block Other,Leaking Comp,Leaking Comp Other,Leaking Service,Leaking Service Other,Leak Quant Method,Leak Rate CMH,Leak rate gps,leakrate m3/year,,sum leaks,Leak Repaired Ind,Non Meas Reason,Non Meas Reason Other,Repair Date,Sum of Days Detection and Repair,Same Day Detection and Repair,Repair Confirmation,Repair Applied,Repair Other,Repair Delay,Delay Other,Turn Around Ind,Turn Around Date
7656,Tourmaline Oil Corp.,Active,TOURMALINE CONROY CREEK D-048-C/094-H-12 001,CD,22-Apr-20,QOGI,K9BLAXXGBP8,7656-1-2020,TParty,1,2,3,,14,1.1,Cloudy,FLIR,NO,GF320/GFx320,YES,NO,366,YES,2052,7656-2052-Comp--Valve--4/22/2020,NO,YES,YES,Comp,,Valve,,NGas,,QOGI,10.8,134.1,94608,134.1,,YES,,,22-Apr-20,0,YES,OGI,Other,Operations repaired leak,,,NO,
18074,Crew Energy Inc.,Active,CREW WILDER 10-14-082-20 001,GP,26-Jan-20,OGI,3.30724E+18,18074-1-2020,TParty,1,3,3,,-7,2.5,Clear,FLIR,NO,GF320/GFx320,YES,NO,365,YES,202685,18074-202685-MStation--Connector--8/19/2020,NO,NO,NO,MStation,,Connector,,NGas,,HFSampler,9.3,115.475,81468,115.475,,YES,Other,Measured,19-Aug-20,206,NO,OGI,Tighten,,Other,Repaired,NO,
7216,Harvest Operations Corp.,Active,HARVEST HAYRIVER D-020-H/094-I-09 001,B2,30-Nov-20,OGI,3.30724E+18,7216-1-2020,TParty,1,1,1,,-5,3.6,Cloudy,FLIR,NO,GF320/GFx320,YES,NO,365,YES,305744,7216-305744-Tankage--PRV/PSV--3/1/2021,NO,NO,NO,Tankage,,PRV/PSV,,NGas,,QOGI,9,111.75,78840,111.75,,YES,Other,Measured,01-Mar-21,91,NO,OGI,Other,Unknown,Other,Repaired,NO,
26427,Tourmaline Oil Corp.,Active,TOURMALINE GUNDY CREEK C-060-A/094-B-16 001,GP,07-Apr-20,QOGI,K8OY9T0RA5W,26427-1-2020,TParty,1,3,3,,3,5.28,Clear,FLIR,NO,GF320/GFx320,YES,NO,366,YES,K8T5FUENGPS,26427-K8T5FUENGPS-Tankage--THatch--1/4/2021,NO,NO,YES,Tankage,,THatch,,LLiquid,,Other,9,111.75,78840,111.75,894,YES,Other,Qmode Files Corrupted,04-Jan-21,272,NO,STest,Replace,,,,NO,
26427,Tourmaline Oil Corp.,Active,TOURMALINE GUNDY CREEK C-060-A/094-B-16 001,GP,07-Apr-20,QOGI,K8OY9T0RA5W,26427-1-2020,TParty,1,3,3,,3,5.28,Clear,FLIR,NO,GF320/GFx320,YES,NO,366,YES,K8T5VLX1V7J,26427-K8T5VLX1V7J-Tankage--THatch--1/7/2021,NO,NO,YES,Tankage,,THatch,,LLiquid,,Other,9,111.75,78840,111.75,,YES,Other,Qmode Files Corrupted,07-Jan-21,275,NO,STest,Replace,,,,NO,
26427,Tourmaline Oil Corp.,Active,TOURMALINE GUNDY CREEK C-060-A/094-B-16 001,GP,07-Apr-20,QOGI,K8OY9T0RA5W,26427-1-2020,TParty,1,3,3,,3,5.28,Clear,FLIR,NO,GF320/GFx320,YES,NO,366,YES,K8T607XLJVH,26427-K8T607XLJVH-Tankage--THatch--4/7/2021,NO,NO,YES,Tankage,,THatch,,Other,Produced H2O,Other,9,111.75,78840,111.75,,YES,Other,Qmode Files Corrupted,07-Apr-21,365,NO,STest,Replace,,,,NO,
26427,Tourmaline Oil Corp.,Active,TOURMALINE GUNDY CREEK C-060-A/094-B-16 001,GP,07-Apr-20,QOGI,K8OY9T0RA5W,26427-1-2020,TParty,1,3,3,,3,5.28,Clear,FLIR,NO,GF320/GFx320,YES,NO,366,YES,K8T8Y9LM7Y6,26427-K8T8Y9LM7Y6-Tankage--THatch--4/7/2021,NO,NO,YES,Tankage,,THatch,,Other,Produced H2O,Other,9,111.75,78840,111.75,,YES,Other,Qmode Files Corrupted,07-Apr-21,365,NO,STest,Replace,,,,NO,
26427,Tourmaline Oil Corp.,Active,TOURMALINE GUNDY CREEK C-060-A/094-B-16 001,GP,07-Apr-20,QOGI,K8OY9T0RA5W,26427-1-2020,TParty,1,3,3,,3,5.28,Clear,FLIR,NO,GF320/GFx320,YES,NO,366,YES,K8T93TRLST5,26427-K8T93TRLST5-Tankage--THatch--2/2/2021,NO,NO,YES,Tankage,,THatch,,LLiquid,,Other,9,111.75,78840,111.75,,YES,Other,Qmode Files Corrupted,02-Feb-21,301,NO,STest,Replace,,,,NO,
26427,Tourmaline Oil Corp.,Active,TOURMALINE GUNDY CREEK C-060-A/094-B-16 001,GP,07-Apr-20,QOGI,K8OY9T0RA5W,26427-1-2020,TParty,1,3,3,,3,5.28,Clear,FLIR,NO,GF320/GFx320,YES,NO,366,YES,K8T98WSSUTS,26427-K8T98WSSUTS-Tankage--THatch--1/7/2021,NO,NO,YES,Tankage,,THatch,,LLiquid,,Other,9,111.75,78840,111.75,,YES,Other,Qmode Files Corrupted,07-Jan-21,275,NO,STest,Replace,,,,NO,
26427,Tourmaline Oil Corp.,Active,TOURMALINE GUNDY CREEK C-060-A/094-B-16 001,GP,07-Apr-20,QOGI,K8OY9T0RA5W,26427-1-2020,TParty,1,3,3,,3,5.28,Clear,FLIR,NO,GF320/GFx320,YES,NO,366,YES,K8T9DOJ7VXD,26427-K8T9DOJ7VXD-Tankage--THatch--1/7/2021,NO,NO,YES,Tankage,,THatch,,LLiquid,,Other,9,111.75,78840,111.75,,YES,Other,Qmode Files Corrupted,07-Jan-21,275,NO,STest,Replace,,,,NO,
