FAC_ID_CODE,PROD GAS,FUEL GAS,FLARE GAS,VENT GAS,TOT RECPTS GAS,TOT DELVRS GAS,PROD OIL,PROD_PERIOD
1,0,0,5,0,116778.7,1823237.5,399.6,202111
2,306,0,0,0,864081.6,0,405.3,202111
3,0,0,0,0,54.5,0,405.3,202111
5,0,0,0,0,15550.1,54655.3,405.3,202111
15,0,0,14.1,0,0,64.9,1001.7,202111
16,0,0,0,0,0,20.3,1176.6,202111
18,0,0,0,0,566.3,0,1176.6,202111
38,31.1,0,6.9,0.2,0,0,18615.6,202111
45,0,0,0,0.1,0,0,19061.5,202111
46,371.8,0,0,0,0,6066.7,108655.9,202111
47,361.7,121.6,0,0,24,0,115813.8,202111
56,0,0,0,0,44.4,0,116401.8,202111
58,9.7,0,0,0,96.9,0,129830,202111
74,103.5,116.3,0,0,18.2,933.2,133250,202111
80,159.5,12.1,0,0,0,1913.4,142711.8,202111
82,0,0,0,0,38.4,0,142711.8,202111
98,313.1,0,0,0.1,0,21.2,142711.8,202111
103,337.3,184.9,0,0.1,150.3,0.8,142711.8,202111
105,0,0,0,0,1031.3,0,142711.8,202111
106,20.2,0,0,0,0,0,143762.2,202111
107,11.1,0,0,0,121.3,0,143762.2,202111
112,0,0,0,0,0,27,143762.2,202111
116,6.5,0,0,0,0,0,145086.9,202111
128,0,0,2,0,4,0,148566.3,202111
131,46.6,0,17.6,0,309.2,41,163522.4,202111
133,6.3,71.3,0,0.1,72,1017.7,167737.1,202111
141,6,0,0,0,0,0,171081.7,202111
151,91.5,41.2,0,0,0,91,211220.4,202111
156,0,0,0,0,0,46,212428.6,202111
160,104654.1,1137.8,0,0,0,429936,212428.6,202111
162,0,0,0,0,0,1267.9,213900.2,202111
165,11.8,0,0,0,102.8,1.7,218558.7,202111
181,0,0,0,0,0,1167.5,218682.7,202111
184,8548.5,2.2,0,0,0,20419.3,218682.7,202111
185,2167.1,0.3,0,0,609.8,13345.7,218682.7,202111
188,19.5,0,0,1,11.2,163,219774.9,202111
204,2882.6,5.3,0,4.6,0,9971,219774.9,202111
205,6223.3,40.2,33.7,45.3,73.4,0.1,219774.9,202111
222,338.1,0,0,0,0,0,219774.9,202111
230,871,346.4,4.9,0.8,92.5,246.8,219774.9,202111
245,1639.1,0,1.2,0,0,1905.5,219774.9,202111
257,2334.7,0,9.5,0,0,0,219774.9,202111
262,0,0,0,0,0,44.4,219774.9,202111
295,142.2,0,0,0,0,0,219774.9,202111
304,0,0,0,0,0,642.1,219774.9,202111
316,0,0,0,0,1116.4,0,219774.9,202111
317,0,394.4,0,0,0,0,219774.9,202111
419,0,0,0,0,0,0,219879.1,202111
437,0,0,0,0,161899.6,100884.6,219879.1,202111
439,0,0,65.1,0,330701.9,267247.2,219879.1,202111
442,0,4937.1,0,0,69292.8,100665.8,219879.1,202111
444,0,0,0,0,9701.9,42671.2,219879.1,202111
454,1087.8,351.9,0,0,0,0,219879.1,202111
527,0,0,0,0,0,661.5,219879.1,202111
553,0,0,0,0,977.5,0,219879.1,202111
606,6.7,2.4,0,0,0,445.4,222627.2,202111
637,0,0,0,0,226664.5,226664.5,222627.2,202111
645,1231.8,3.4,6,0,0,0,222627.2,202111
709,0,0,1.4,0,0,0,222627.2,202111
720,23119.9,1727.3,2.8,0,1734.7,45250.8,222627.2,202111
730,0,0,15.2,0,0,50.5,222627.2,202111
754,13.6,0,0,0,0,0,222627.2,202111
771,0,0,0,0,0,7267,222627.2,202111
851,0,0,0,0,0,100.4,222627.2,202111
891,0,0,0,0,306,26.8,222627.2,202111
921,2107.7,9.6,0,3.8,156.4,19312.5,222627.2,202111
932,0,508.9,1665.5,0,227289.5,0,222634.4,202111
976,3665.2,0,0,0,0,0,222634.4,202111
981,0,0,0,0,0,97196.4,222634.4,202111
1020,123.6,0,0,0,0,21.3,222634.4,202111
1034,0,0,0,0,0,37.9,223101.2,202111
1099,1253.6,326.2,0,4.4,0,5582.7,223101.2,202111
1121,0,0,0,0,0,1483.6,223101.2,202111
1205,409.3,0,0,0,547.5,0,235232.6,202111
1292,371.7,134.5,0,1.6,0,1431.2,235670.7,202111
1406,115.3,1.5,0,0,1.5,115.3,235770.2,202111
1513,242.8,0.4,0,0,0,0,235770.2,202111
1631,39.3,1.9,0,0,0,0,238701,202111
1647,211.8,0,0,0,17,0,238701,202111
1836,2782.5,1003.3,0,25.3,0,0,239875.1,202111
1837,384.5,1.2,0,3.5,0,2823.8,239875.1,202111
1882,198.7,0,0,0,0,0.4,239875.1,202111
2012,30,0,2.2,0,80.4,100.4,244879.6,202111
2028,0,0,0,0,2129.7,0,244879.6,202111
2048,29.5,0,0,0,0,255.4,244879.6,202111
2109,729.5,0,0,0,259.2,0,244879.6,202111
2119,1621.3,0,0,0,241.3,5.3,244879.6,202111
2175,0,0,0,0,0,73.8,245516.7,202111
2188,393.3,5.9,0,1.9,0,2628.1,245516.7,202111
2223,0,0,0,0,0,1172.5,245516.7,202111
2365,743.6,77.3,0,0,56,12.1,245554.9,202111
2366,0,0,10.6,0.2,0,0,252119.9,202111
2435,0,2757.7,0.6,0,190208.4,43.9,252119.9,202111
2436,0,0,0,0,7246.2,0,252119.9,202111
2438,0,0,0,0,13945.5,0,252119.9,202111
2826,0,0,0,0,195.5,0,252119.9,202111
2871,9639.1,1457,0,0,1529.9,0,252119.9,202111
2917,4970.4,7.1,4.7,0,0,0,252119.9,202111
3230,1002.2,0,0,0,0,323.7,253698.3,202111
3479,3985.8,1.7,0,1.9,11939,0,253698.3,202111
3601,608.4,0,0,0,45.4,0,346936,202111
3612,0,0,0,0,4300.7,4178.9,346936,202111
3613,0,0,0.1,0,0,737.4,346936,202111
3615,0,0,0,0,1935.2,0,346936,202111
3738,3631,5.3,0,27.4,24107,14815.2,346936,202111
3761,542.1,0,0,0.4,0,0,346936,202111
3804,7345.4,490.1,39.6,3,0,826.6,346936,202111
3838,0,0,0,0,0,1468,346936,202111
4070,988.5,0.6,0,2.2,0,178,346936,202111
4314,874.4,188.2,0,0,0,0,346936,202111
4557,619,0,0,0,0,0,347141.3,202111
4567,96,0,0,0,0,889.3,347141.3,202111
4799,63,3.5,0,0,0,0,350069.2,202111
5108,0,0,0,0,140749.3,0,350069.2,202111
5116,0,0,0,0,36823.2,0,350069.2,202111
5148,0,0,0,0,72615.9,0,350069.2,202111
5510,21.3,0,0,0,0,0,360860.4,202111
5724,0,0,0,0.1,0,428.1,362636.1,202111
5733,0,0,0,0.7,0,3800.6,362636.1,202111
6321,0,0,0,0,0,76,363461,202111
6586,0,0,0,0,0,0.2,363754.4,202111
7037,429.4,0,0,0,0,0,363754.4,202111
7038,45.8,0,0,0,18.1,0,365024.3,202111
7137,1511.8,24.2,0,0,0,6911.9,365024.3,202111
7156,0,0,0,0,554.4,195.7,365024.3,202111
7164,234.7,0.1,0,3.2,0,75.2,365029.9,202111
7173,0,0,0,0,0,651.5,365029.9,202111
7201,236.5,0,0,2.4,0,0,365029.9,202111
7283,1745.6,0,0,0,0,314.3,369339.3,202111
7287,373.3,0,0,0.3,0,0,369339.3,202111
7309,2036.3,5.2,0,20.8,0,0,369339.3,202111
7314,1826.1,9.4,0,6.9,0,8565.6,369339.3,202111
7329,0,0,0,0,12.1,0,369339.3,202111
7332,15.4,0,0,0,0,0,369339.3,202111
7341,0,0,0,0,33.8,653.6,369339.3,202111
7359,1172.1,1.2,0,3.1,0,4988.5,369339.3,202111
7362,244.1,0,0,0,372,0,369339.3,202111
7393,65.5,16.9,0,0,0,0,370414.8,202111
7405,22.9,0,0,0,0,167.8,372379.3,202111
7423,0,0,0,0,886.3,0,372379.3,202111
7442,0,1163.2,15.8,0,0,24.9,372379.3,202111
7452,12012.5,151.9,146.4,25.6,0,134543.4,372379.3,202111
7462,4766.9,0,0,0,0,0,372379.3,202111
7463,3269.8,1.4,0,0,7078.2,0,372379.3,202111
7465,9148.8,750.5,0,0,0,0,372379.3,202111
7466,0,0,0,0,0.9,0,372379.3,202111
7483,535.2,2,25.3,1.4,0,0,372390.4,202111
7503,562.2,0.3,0,2.6,24.1,0,372390.4,202111
7507,1744.4,179.1,0,0.9,0,3738.4,372390.4,202111
7512,10,0,0,0,0,74.5,373123.1,202111
7571,0,128.6,0,0,142.6,0,373151.6,202111
7583,1356.5,0.1,0,0.1,0,3489.6,373163.2,202111
7595,1591.4,277.6,8.5,4.8,0,4191.7,373225.7,202111
7611,30,0,0,0,0,64,374318.5,202111
7633,0,4.9,121.8,0,2041.6,0,374318.5,202111
7652,0,0,192.5,0,0,35746,374318.5,202111
7656,7165.8,0,0,0,0,0,374318.5,202111
7661,0,151.6,0,0,0,0,374318.5,202111
7671,479.3,0,0,0,0,975.2,374318.5,202111
7672,3519.7,249.9,0,6.7,0,0,374318.5,202111
7676,0,0,59.8,0,0,741.8,374318.5,202111
7681,0,255.1,0,0,0,0,374318.5,202111
7682,233.7,0,0,0,0,374.4,374318.5,202111
7687,524.3,150.3,0,2.5,149.9,0,374318.5,202111
7696,59.5,0,2.4,0,0,149.4,379558,202111
7727,27920.2,40.1,0,4.9,0,281641.9,380073.9,202111
7729,4124.6,3.1,0,0.8,0,0,380073.9,202111
7743,6810.3,0,5.4,0,0,40226.8,380073.9,202111
7749,12671.4,0,0,10.2,0,48110.4,380073.9,202111
7753,523.8,0,0,0,0,10360.9,380073.9,202111
7776,5905.7,1307.3,0,0,42108.2,42108.2,380073.9,202111
7778,14059.6,12.8,0,25.7,57626.6,57986.6,380073.9,202111
7785,275262.7,657.9,217.5,0,0,271256.8,380073.9,202111
7791,3172.2,0.2,0,0,0,33739.9,380073.9,202111
7795,729.2,4,0,2.1,11683.3,11683.3,380073.9,202111
7796,0,0,0,0,8783.5,600.5,380073.9,202111
7806,14308.3,45.1,0,0,131089.4,129145.2,380073.9,202111
7808,0,3798,17.2,0,0,355670.6,380073.9,202111
7819,1964.9,3.5,0,1.9,0,64920.3,380073.9,202111
7825,909.3,2.4,0,0.4,0,0,380073.9,202111
7834,47403.4,1161.2,0,0,0,83853.4,380073.9,202111
7835,1750.3,0,0,0,0,0,380073.9,202111
7837,5455.8,0,29.4,5.3,0,23351.4,380073.9,202111
7838,1121.7,1.9,0,1.2,0,8671.9,380073.9,202111
7845,1750.1,3.7,0,1.1,0,0,380073.9,202111
7848,826.6,0,4.7,1.1,0,1271.5,380073.9,202111
7858,0,0,0,1.2,0,0,380170.4,202111
7861,42553.3,0,0,0,0,0,380170.4,202111
7864,34674.7,0,0,0,0,0,380170.4,202111
7868,35731.4,6.1,0,6.1,114003.1,114003.1,380170.4,202111
7878,8989.6,7.4,0,0,0,10285.6,380193.2,202111
7884,2091.2,1.3,0,1.9,0,12682.7,380193.2,202111
7885,4433.8,0,0,2.5,0,20093.4,380193.2,202111
7886,3359.8,1.3,19.6,0.4,0,0,380193.2,202111
