X,Y,OBJECTID,FACILITY_ID,FACILITY_TYPE,FACILITY_TYPE_DESC,FACILITY_NAME,STATUS,MAXIMUM_H2S_PERCENT,APPLICATION_DETERMINATION_NUM,ACTIVITY_APPROVAL_DATE,ACTIVITY_CANCEL_DATE,LEGACY_OGC_FILE_NUMBER,PROPONENT,AUTHORITY_TYPE,DATA_SOURCE
1325969.0707,1237785.1076,14298928,00026354,GP,Gas Processing Plant,CNRL SEPTIMUS 14-16-081-18 001,Active,10,100101919,2017/03/29 14:33:29+00,,,Canadian Natural Resources Limited,OGAA,GPSD
1351365.5905,1306294.2315,14298929,00026355,WF,Well Facility,ENERCAPITA BOUNDARY LAKE NORTH 12-12-088-15 001,Active,1.95000005,100102118,2017/03/30 10:53:27+00,,,Enercapita Energy Ltd.,OGAA,GPSD
1241289.0791,1265927.4747,14298930,00026345,CS,Compressor Station,PACIFIC CANBRIAM ALTARES a-098-A/094-B-08 001,Permit Approved,0,100102120,2017/04/02 09:42:58+00,,,Pacific Canbriam Energy Limited,OGAA,SNK
1325166.4515,1271311.1053,14298931,00026379,WF,Well Facility,CNRL EAGLE 07-35-084-18 002,Active,4.5,100102601,1982/12/01 00:00:00+00,,,Canadian Natural Resources Limited,OGAA,CGWC
1324501.3995,1270852.348,14298932,00026380,WF,Well Facility,CNRL EAGLE 04-35-084-18 002,Inactive,4.5,100102603,1998/12/01 00:00:00+00,,,Canadian Natural Resources Limited,OGAA,CGWC
1340941.168,1197856.3345,14298933,00026433,WF,Well Facility,TOURMALINE SUNDOWN 09-09-077-17 007,Active,0,100102801,2017/07/17 09:14:05+00,,,Tourmaline Oil Corp.,OGAA,GPSND
1342541.3776,1199575.6973,14298934,00026437,WF,Well Facility,TOURMALINE SUNDOWN 09-15-077-17 001,Permit Approved,0,100102825,2017/08/23 10:52:47+00,,,Tourmaline Oil Corp.,OGAA,GPSND
1352209.1344,1227642.1994,14298935,00026532,WF,Well Facility,TOURMALINE DOE 05-07-080-15 001,Active,700,100103276,2017/09/06 12:12:49+00,,,Tourmaline Oil Corp.,OGAA,GPSND
1361874.535,1214124.0358,14298936,00026402,PS,Pump Station,PLATEAU DAWSON CREEK 10-26-078-15 001,Active,0,100102803,2017/08/17 15:22:18+00,,,Plateau Pipe Line Ltd.,OGAA,GPSD
1372648.714,1212457.5083,14298937,00026421,OM,Oil Sales Meter,PLATEAU BRIAR RIDGE 13-13-078-14 002,Active,0,100103024,2017/07/24 13:18:17+00,,,Plateau Pipe Line Ltd.,OGAA,GPSD
1277020.793,1337465.6383,14298938,00026434,SM,Gas Sales Meter,TECL BIRCH c-035-L/094-A-14 002,Active,2,100103105,2017/08/24 14:26:58+00,,,Todd Energy Canada Limited,OGAA,SNK
1277034.784,1337466.2194,14298939,00026435,SM,Gas Sales Meter,TECL BIRCH c-035-L/094-A-14 001,Active,2,100103105,2017/08/24 14:26:58+00,,,Todd Energy Canada Limited,OGAA,SNK
1344763.4561,1235332.4864,14298940,00026428,WH,Water Hub,ARCRES PARKLAND 08-05-081-16 001,Active,100,100102781,2017/09/20 14:36:25+00,,,ARC Resources Ltd.,OGAA,SNK
1229396.1815,1322619.6317,14298941,00026598,WF,Well Facility,CNRL BLAIR C-009-G/094-B-16 001,Active,0,100104438,2018/01/17 14:54:46+00,,,Canadian Natural Resources Limited,OGAA,GPSND
1272275.2547,1303087.991,14298942,00026592,WF,Well Facility,COP INGA 02-23-088-23 004,Active,5.28000021,100104366,2018/01/18 15:03:49+00,,,ConocoPhillips Canada Resources Corp.,OGAA,GPSND
1242386.5438,1274030.4215,14298943,00026621,WF,Well Facility,PACIFIC CANBRIAM ALTARES D-076-H/094-B-08 002,Active,0,100104502,2018/01/23 13:25:31+00,,,Pacific Canbriam Energy Limited,OGAA,CGWC
1242386.5438,1274030.4215,14298944,00026622,DS,Disposal Station,PACIFIC CANBRIAM ALTARES D-076-H/094-B-08 003,Active,0,100104502,2018/01/23 13:25:31+00,,,Pacific Canbriam Energy Limited,OGAA,CGWC
1256028.4643,1346887.6673,14298945,00026618,WF,Well Facility,TOURMALINE AITKEN CREEK NORTH B-052-C/094-H-04 001,Active,1,100104609,2018/01/25 13:34:25+00,,,Tourmaline Oil Corp.,OGAA,GPSND
1316668.8858,1228088.3769,14298946,00026610,WF,Well Facility,SHELL GROUNDBIRCH 03-21-080-19 001,Active,0,100104449,2018/01/29 15:10:25+00,,,Shell Canada Limited,OGAA,SNK
1241785.5552,1342214.1352,14298947,00026600,WF,Well Facility,TOURMALINE AITKEN CREEK NORTH B-011-A/094-G-01 001,Active,1,100104456,2018/02/01 12:56:31+00,,,Tourmaline Oil Corp.,OGAA,GPSND
1338319.9916,1221860.6175,14298948,00026701,OM,Oil Sales Meter,PLATEAU PARKLAND 06-27-079-17 001,Active,0,100105234,2018/04/19 08:57:08+00,,,Plateau Pipe Line Ltd.,OGAA,GPSD
1315011.4584,1273694.398,14298949,00026670,DS,Disposal Station,CNRL EAGLE 06-11-085-19 002,Permit Approved,0,100104820,2018/05/11 09:22:51+00,,,Canadian Natural Resources Limited,OGAA,GPSD
1315011.4584,1273694.398,14298950,00026671,WF,Well Facility,CNRL EAGLE 06-11-085-19 003,Permit Approved,0,100104820,2018/05/11 09:22:51+00,,,Canadian Natural Resources Limited,OGAA,GPSD
1321593.9295,1271685.1779,14298951,00026595,SB,Satellite Battery,CNRL EAGLE 14-33-084-18 001,Permit Approved,50,100104377,2018/05/30 14:34:05+00,,,Canadian Natural Resources Limited,OGAA,SNK
1347841.1356,1236913.0282,14298952,00026742,WF,Well Facility,ARCRES PARKLAND 01-10-081-16 005,Active,1000,100105683,2018/06/11 13:53:16+00,,,ARC Resources Ltd.,OGAA,SNK
1255018.3707,1346647.4066,14298953,00026743,WF,Well Facility,TOURMALINE AITKEN CREEK NORTH D-044-C/094-H-04 001,Under Construction,1,100104603,2018/06/14 13:42:21+00,,,Tourmaline Oil Corp.,OGAA,GPSND
1306581.1994,1229246.0444,14298954,00007868,GP,Gas Processing Plant,SHELL SATURN 03-28-080-20 001,Active,0,100074402,2011/09/02 00:00:00+00,,9704886,Shell Canada Limited,OGAA,GPSND
1241101.3769,1269969.0323,14298955,00026737,WF,Well Facility,PACIFIC CANBRIAM ALTARES C-037-H/094-B-08 001,Active,0,100105663,2018/06/14 11:26:53+00,,,Pacific Canbriam Energy Limited,OGAA,SNK
1272307.3158,1332375.7429,14298956,00026665,WF,Well Facility,CNRL FIREWEED D-082-H/094-A-13 003,Under Construction,0,100104821,2018/06/19 11:04:42+00,,,Canadian Natural Resources Limited,OGAA,GPSD
1272307.3158,1332375.7429,14298957,00026666,DS,Disposal Station,CNRL FIREWEED D-082-H/094-A-13 004,Under Construction,0,100104821,2018/06/19 11:04:42+00,,,Canadian Natural Resources Limited,OGAA,GPSD
1350064.7421,1233217.9051,14298958,00026712,OM,Oil Sales Meter,PLATEAU PARKLAND 13-25-080-16 004,Active,0,100105433,2018/06/20 14:18:17+00,,,Plateau Pipe Line Ltd.,OGAA,GPSD
1338991.9983,1229541.5798,14298959,00026739,WF,Well Facility,OVV SUNRISE 04-23-080-17 001,Active,990,100105680,2018/07/10 13:28:20+00,,,Ovintiv Canada ULC,OGAA,SNK
1335912.0069,1241453.8352,14298960,00026246,WF,Well Facility,CREW TOWER LAKE 10-28-081-17  002,Active,0,100100341,2016/11/07 11:02:50+00,,,Crew Energy Inc.,OGAA,SNK
1307502.7501,1240102.7182,14298961,00026237,WF,Well Facility,CREW SEPTIMUS 04-34-081-20 001,Active,0,100100348,2016/10/21 09:19:15+00,,,Crew Energy Inc.,OGAA,SNK
