Kermit FacilityID,Survey Sequence1,Number of Surveys Submitted Per Facility,Number Surveys Required Proation/Days Active,Days Between Surveys,Ambient Temp C,Wind Speed MS,Fac Pressurized Days,Leak Rate CMH,Leak rate gps,leakrate m3/year,Unnamed: 39,sum leaks,Sum of Days Detection and Repair
27386,1,1,3.0,0.0,18.0,2.5,300,0.0,0.0,0.0,0.0,0.0,0.0
7044,1,1,1.0,0.0,12.0,1.7,365,0.0,0.0,0.0,0.0,0.0,0.0
7041,1,1,1.0,0.0,20.0,2.2,365,0.0,0.0,0.0,0.0,0.0,0.0
7040,1,1,1.0,0.0,20.0,2.2,365,0.0,0.0,0.0,0.0,0.0,0.0
7038,1,1,3.0,0.0,-5.0,11.0,365,0.0,0.0,0.0,0.0,0.0,0.0
8274,1,1,1.0,0.0,21.0,1.0,365,0.0,0.0,0.0,0.0,0.0,0.0
7033,1,1,1.0,0.0,2.0,7.2,365,0.0,0.0,0.0,0.0,0.0,0.0
7045,1,1,1.0,0.0,12.0,1.7,365,0.0,0.0,0.0,0.0,0.0,0.0
7030,1,1,0.0,0.0,0.0,0.0,366,0.0,0.0,0.0,0.0,0.0,0.0
7026,1,1,0.0,0.0,0.0,0.0,366,0.0,0.0,0.0,0.0,0.0,0.0
7025,1,1,1.0,0.0,9.0,3.89,365,0.0,0.0,0.0,0.0,0.0,0.0
7024,1,1,0.0,0.0,0.0,0.0,366,0.0,0.0,0.0,0.0,0.0,0.0
6611,1,1,3.0,0.0,1.0,2.0,365,0.0,0.0,0.0,0.0,0.0,0.0
8276,1,1,1.0,0.0,-13.0,11.0,365,0.0,0.0,0.0,0.0,0.0,0.0
8294,6,9,9.0,161.0,14.0,5.0,1095,0.0,0.0,0.0,0.0,0.0,0.0
7027,1,1,0.0,0.0,0.0,0.0,366,0.0,0.0,0.0,0.0,0.0,0.0
8344,6,9,3.0,132.0,24.0,9.66,1095,0.0,0.0,0.0,0.0,0.0,0.0
7046,1,1,1.0,0.0,12.0,1.7,365,0.0,0.0,0.0,0.0,0.0,0.0
7056,1,1,1.0,0.0,28.0,10.0,365,0.0,0.0,0.0,0.0,0.0,0.0
8218,1,1,1.0,0.0,10.0,3.9,365,0.0,0.0,0.0,0.0,0.0,0.0
8224,1,1,1.0,0.0,-13.0,4.0,365,0.0,0.0,0.0,0.0,0.0,0.0
8239,1,1,1.0,0.0,-13.0,4.0,365,0.0,0.0,0.0,0.0,0.0,0.0
7102,1,1,3.0,0.0,-4.0,5.8,365,0.0,0.0,0.0,0.0,0.0,0.0
7101,1,1,3.0,0.0,-4.0,5.8,365,0.0,0.0,0.0,0.0,0.0,0.0
7100,1,1,3.0,0.0,3.0,5.8,365,0.0,0.0,0.0,0.0,0.0,0.0
7047,1,1,1.0,0.0,12.0,1.7,365,0.0,0.0,0.0,0.0,0.0,0.0
7099,1,1,3.0,0.0,5.0,6.8,365,0.0,0.0,0.0,0.0,0.0,0.0
7097,1,1,3.0,0.0,0.0,5.8,365,0.0,0.0,0.0,0.0,0.0,0.0
7084,1,1,1.0,0.0,8.0,2.0,365,0.0,0.0,0.0,0.0,0.0,0.0
7083,1,1,1.0,0.0,0.0,0.0,365,0.0,0.0,0.0,0.0,0.0,0.0
7078,1,1,1.0,0.0,-1.0,1.5,365,0.0,0.0,0.0,0.0,0.0,0.0
7070,1,1,1.0,0.0,20.0,2.2,365,0.0,0.0,0.0,0.0,0.0,0.0
7066,1,1,1.0,0.0,12.0,1.7,365,0.0,0.0,0.0,0.0,0.0,0.0
7098,1,1,3.0,0.0,-4.0,3.6,365,0.0,0.0,0.0,0.0,0.0,0.0
8370,6,9,3.0,137.0,32.0,11.4,1092,0.0,0.0,0.0,0.0,0.0,0.0
8386,6,9,3.0,138.0,34.0,9.7,1092,0.0,0.0,0.0,0.0,0.0,0.0
8420,1,1,1.0,0.0,-1.0,2.3,365,0.0,0.0,0.0,0.0,0.0,0.0
8643,14,20,5.0,340.0,3.0,32.71,1825,0.0,0.0,0.0,0.0,0.0,0.0
8647,1,1,1.0,0.0,0.0,0.0,365,0.0,0.0,0.0,0.0,0.0,0.0
8648,1,1,1.0,0.0,20.0,2.2,365,0.0,0.0,0.0,0.0,0.0,0.0
3653,1,1,3.0,0.0,-17.0,5.0,365,0.0,0.0,0.0,0.0,0.0,0.0
8656,3,4,0.0,169.0,-3.0,4.166666666999999,732,0.0,0.0,0.0,0.0,0.0,0.0
3601,1,1,2.0,0.0,8.0,2.0,365,0.0,0.0,0.0,0.0,0.0,0.0
3806,1,1,3.0,0.0,4.0,5.8,365,0.0,0.0,0.0,0.0,0.0,0.0
8661,1,1,1.0,0.0,0.0,0.0,365,0.0,0.0,0.0,0.0,0.0,0.0
8663,3,4,0.0,74.0,-2.0,9.166666667,732,0.0,0.0,0.0,0.0,0.0,0.0
17834,1,1,1.0,0.0,18.0,2.5,300,0.0,0.0,0.0,0.0,0.0,0.0
17853,1,1,1.0,0.0,5.0,3.6,365,0.0,0.0,0.0,0.0,0.0,0.0
17865,1,1,3.0,0.0,-1.0,23.0,365,0.0,0.0,0.0,0.0,0.0,0.0
7692,1,1,3.0,0.0,4.0,1.7,365,0.0,0.0,0.0,0.0,0.0,0.0
17903,1,1,3.0,0.0,-7.0,3.6,365,0.0,0.0,0.0,0.0,0.0,0.0
8662,1,1,1.0,0.0,0.0,0.0,365,0.0,0.0,0.0,0.0,0.0,0.0
3807,3,3,9.0,0.0,9.0,14.3,1095,0.0,0.0,0.0,0.0,0.0,0.0
3808,1,1,3.0,0.0,2.0,3.6,365,0.0,0.0,0.0,0.0,0.0,0.0
3868,1,1,3.0,0.0,-16.0,1.7,365,0.0,0.0,0.0,0.0,0.0,0.0
4530,1,1,3.0,0.0,2.0,3.6,365,0.0,0.0,0.0,0.0,0.0,0.0
4529,1,1,3.0,0.0,-4.0,3.0,365,0.0,0.0,0.0,0.0,0.0,0.0
4528,1,1,3.0,0.0,-4.0,5.8,365,0.0,0.0,0.0,0.0,0.0,0.0
4527,1,1,3.0,0.0,5.0,7.1,365,0.0,0.0,0.0,0.0,0.0,0.0
4526,1,1,3.0,0.0,0.0,5.8,365,0.0,0.0,0.0,0.0,0.0,0.0
8429,6,9,3.0,134.0,14.0,11.12,981,0.0,0.0,0.0,0.0,0.0,0.0
8439,1,1,1.0,0.0,-4.0,3.0,365,0.0,0.0,0.0,0.0,0.0,0.0
8450,6,9,3.0,133.0,16.0,8.28,1095,0.0,0.0,0.0,0.0,0.0,0.0
8455,1,1,1.0,0.0,-7.0,2.0,365,0.0,0.0,0.0,0.0,0.0,0.0
8487,6,9,3.0,133.0,8.0,11.38,1095,0.0,0.0,0.0,0.0,0.0,0.0
8551,14,20,5.0,340.0,3.0,32.71,1825,0.0,0.0,0.0,0.0,0.0,0.0
8573,6,9,3.0,133.0,16.0,8.28,1095,0.0,0.0,0.0,0.0,0.0,0.0
4046,1,1,3.0,0.0,1.0,4.7,365,0.0,0.0,0.0,0.0,0.0,0.0
8574,6,9,3.0,133.0,16.0,8.28,1095,0.0,0.0,0.0,0.0,0.0,0.0
8579,1,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
8211,1,1,1.0,0.0,-13.0,3.0,365,0.0,0.0,0.0,0.0,0.0,0.0
8202,1,1,1.0,0.0,-8.0,2.0,365,0.0,0.0,0.0,0.0,0.0,0.0
8201,1,1,1.0,0.0,-4.0,0.5,365,0.0,0.0,0.0,0.0,0.0,0.0
8188,6,9,3.0,133.0,16.0,8.28,1095,0.0,0.0,0.0,0.0,0.0,0.0
7536,1,1,3.0,0.0,-6.0,3.6,365,0.0,0.0,0.0,0.0,0.0,0.0
7535,1,1,3.0,0.0,5.0,5.9,365,0.0,0.0,0.0,0.0,0.0,0.0
7534,1,1,3.0,0.0,-3.0,3.6,365,0.0,0.0,0.0,0.0,0.0,0.0
7533,1,1,3.0,0.0,1.0,3.6,365,0.0,0.0,0.0,0.0,0.0,0.0
7882,1,1,3.0,0.0,-3.0,3.6,365,0.0,0.0,0.0,0.0,0.0,0.0
7488,2,2,6.0,0.0,22.0,11.2,730,0.0,0.0,0.0,0.0,0.0,0.0
7853,1,1,3.0,0.0,-7.0,3.6,365,0.0,0.0,0.0,0.0,0.0,0.0
7887,1,1,3.0,0.0,-3.0,3.6,365,0.0,0.0,0.0,0.0,0.0,0.0
7888,1,1,3.0,0.0,5.0,3.2,365,0.0,0.0,0.0,0.0,0.0,0.0
7908,1,1,3.0,0.0,3.0,2.0,365,0.0,0.0,0.0,0.0,0.0,0.0
7909,1,1,0.0,0.0,13.0,3.1,0,0.0,0.0,0.0,0.0,0.0,0.0
7914,8,12,12.0,566.0,12.0,16.38888889,1464,0.0,0.0,0.0,0.0,0.0,0.0
7923,1,1,3.0,0.0,3.0,2.0,365,0.0,0.0,0.0,0.0,0.0,0.0
7437,1,1,3.0,0.0,20.0,2.78,366,0.0,0.0,0.0,0.0,0.0,0.0
7481,6,9,9.0,232.0,-3.0,6.9,1095,0.0,0.0,0.0,0.0,0.0,0.0
7571,6,9,9.0,238.0,-2.0,12.3,1095,0.0,0.0,0.0,0.0,0.0,0.0
7846,1,1,3.0,0.0,-7.0,3.6,365,0.0,0.0,0.0,0.0,0.0,0.0
7842,1,1,2.0,0.0,-12.0,0.0,365,0.0,0.0,0.0,0.0,0.0,0.0
7728,1,1,3.0,0.0,11.0,1.11,366,0.0,0.0,0.0,0.0,0.0,0.0
7746,6,9,3.0,146.0,31.0,11.7,990,0.0,0.0,0.0,0.0,0.0,0.0
7686,1,1,3.0,0.0,18.0,5.277777778,366,0.0,0.0,0.0,0.0,0.0,0.0
27284,3,4,6.0,83.0,14.0,4.4,732,0.0,0.0,0.0,0.0,0.0,0.0
7762,1,1,3.0,0.0,-7.0,3.6,365,0.0,0.0,0.0,0.0,0.0,0.0
7763,1,1,3.0,0.0,5.0,7.7,365,0.0,0.0,0.0,0.0,0.0,0.0
7765,1,1,3.0,0.0,-3.0,3.6,365,0.0,0.0,0.0,0.0,0.0,0.0
7777,1,1,1.0,0.0,-15.0,2.0,365,0.0,0.0,0.0,0.0,0.0,0.0
7664,3,4,6.0,252.0,-14.0,5.833333333,730,0.0,0.0,0.0,0.0,0.0,0.0
7784,6,9,3.0,132.0,21.0,9.719999999999999,1095,0.0,0.0,0.0,0.0,0.0,0.0
7810,14,20,15.0,340.0,3.0,32.71,1825,0.0,0.0,0.0,0.0,0.0,0.0
7813,1,1,0.0,0.0,10.0,5.277777778,366,0.0,0.0,0.0,0.0,0.0,0.0
7606,1,1,3.0,0.0,-4.0,3.6,365,0.0,0.0,0.0,0.0,0.0,0.0
