FACILITYID,FACILITYNAME,FACILITYTYPE_CODE,FROMWANUM,FROMFACILITYID,CANCELDATE,REMOVALDATE,SUSPENDEDDATE,EFFECTIVEDATE,TERMINATIONDATE,LINKAGEPRODUCT,LINKAGETYPE
1228,ROGCI FLATROCKWEST 03-29-085-17 001,B,8150,NULL,NULL,1-Apr-94,NULL,1-Aug-93,1-Apr-94,Oil,PP
1229,ENERMARK INGA 14-17-086-23 001,B,8138,NULL,NULL,1-Aug-96,NULL,1-Jun-93,1-Aug-96,Oil,PP
1230,ENERMARK INGA 14-05-086-23 001,B,8132,NULL,NULL,1-Aug-96,NULL,1-Jul-93,1-Aug-96,Oil,PP
1232,CNRL BLUEBERRY D-099-D/094-A-13 002,CS,504,NULL,NULL,19-Oct-98,NULL,1-Jun-93,1-Oct-98,Gas,PP
1234,DEVON EAGLE 10-33-084-18 002,B,4682,NULL,NULL,1-Oct-93,NULL,1-Aug-93,1-Oct-93,Gas,PP
1248,CALPINE OAK 10-34-085-18 001,B,8154,NULL,NULL,1-Dec-99,NULL,1-Aug-93,1-Nov-99,Oil,PP
1255,BRC HTR SUNSETPRAIRIE 07-08-080-18 002,B,8162,NULL,NULL,1-Jul-97,NULL,1-Aug-93,1-Jul-97,Oil,PP
1257,ROGCI PEEJAY B-100-H/094-A-15 002,B,8184,NULL,NULL,1-Apr-94,NULL,1-Sep-93,1-Apr-94,Oil,PP
1258,CNRL FLATROCK 12-24-084-17 001,B,8067,NULL,NULL,NULL,NULL,1-Aug-93,NULL,Oil,PP
1262,CNRL BIRCH A-043-J/094-A-13 002,B,8215,NULL,NULL,NULL,NULL,1-Sep-93,NULL,Oil,PP
1263,PROGRESS BLUEBERRYEAST D-047-C/094-A-13 001,PG,8165,NULL,NULL,1-Apr-95,NULL,1-Oct-93,1-Apr-94,Gas,PP
1263,PROGRESS BLUEBERRYEAST D-047-C/094-A-13 001,PG,8165,NULL,NULL,1-Apr-95,NULL,1-Apr-94,1-Apr-95,Gas,PP
1268,BRC HTR SUNSETPRAIRIE 14-05-080-18 001,B,8230,NULL,NULL,1-Jul-97,NULL,1-Sep-93,1-Jul-97,Oil,PP
1273,CNRL FLATROCKWEST 05-36-084-17 001,B,8220,NULL,NULL,NULL,NULL,1-Oct-93,1-Feb-94,Oil,PP
1274, OAK 01-29-086-18 001,B,8234,NULL,NULL,20-Jan-95,NULL,1-Oct-93,1-Jan-95,Oil,PP
1276,CNRL ATTACHIE 07-26-084-22 001,PG,5659,NULL,NULL,NULL,NULL,1-Jan-94,NULL,Gas,PP
1277, OAK 09-29-086-18 001,B,8256,NULL,NULL,20-Jan-95,NULL,1-Oct-93,1-Jan-95,Oil,PP
1278,CNRL EAGLE 06-03-085-18 001,PG,3822,NULL,NULL,NULL,NULL,1-Oct-93,NULL,Gas,PP
1280,CNRL RIGEL 01-16-088-16 001,B,8253,NULL,NULL,NULL,NULL,1-Oct-93,NULL,Oil,PP
1293, RIGEL 06-22-088-18 001,B,8265,NULL,NULL,17-Oct-96,NULL,1-Oct-93,1-Oct-96,Oil,PP
1295,ROGCI FLATROCKWEST 11-20-085-17 001,B,8247,NULL,NULL,1-Apr-94,NULL,1-Oct-93,1-Apr-94,Oil,PP
1297,CNRL CECILLAKE 02-08-085-17 001,B,8254,NULL,NULL,NULL,NULL,1-Nov-93,1-Feb-14,Oil,PP
1312,CNRL FLATROCKWEST 10-26-085-17 001,B,6925,NULL,NULL,NULL,NULL,1-Dec-93,NULL,Oil,PP
1315,ENERPLUS TOMMYLAKES D-020-A/094-G-16 001,PG,566,NULL,NULL,NULL,NULL,1-Mar-94,NULL,Gas,PP
1318,CNRL STODDART 08-23-085-20 001,B,5960,NULL,NULL,NULL,NULL,1-Nov-93,1-Jan-94,Gas,PP
1319,PENGROWTH OAK 04-12-086-18 001,PG,8262,NULL,NULL,1-Nov-96,NULL,1-Dec-93,1-Jan-94,Oil,PP
1320,CNRL BIRCH C-039-I/094-A-13 001,B,8188,NULL,NULL,1-Apr-94,NULL,1-Oct-93,1-Apr-94,Oil,PP
1321, BIRCH D-048-J/094-A-13 001,B,8186,NULL,NULL,1-Dec-94,NULL,1-Sep-93,1-Dec-94,Oil,PP
1322, BIRCH D-001-J/094-A-13 002,B,8241,NULL,NULL,1-Apr-94,NULL,1-Oct-93,1-Apr-94,Oil,PP
1323, BIRCH B-020-I/094-A-13 001,B,8240,NULL,NULL,1-Apr-94,NULL,1-Dec-93,1-Apr-94,Oil,PP
1324, BIRCH C-098-H/094-A-13 002,B,8243,NULL,NULL,1-Jan-94,NULL,1-Dec-93,1-Jan-94,Oil,PP
1325, BIRCH C-098-H/094-A-13 003,B,8245,NULL,NULL,1-Jan-94,NULL,1-Nov-93,1-Jan-94,Oil,PP
1326, BIRCH A-019-I/094-A-13 002,B,8246,NULL,NULL,1-Jan-94,NULL,1-Nov-93,1-Jan-94,Oil,PP
1327, BIRCH D-009-I/094-A-13 002,B,8244,NULL,NULL,1-Jan-94,NULL,1-Nov-93,1-Jan-94,Oil,PP
1328,ROGCI FLATROCKWEST 15-17-085-17 001,B,8269,NULL,NULL,1-Apr-94,NULL,1-Dec-93,1-Apr-94,Oil,PP
229,CNRL DAHL C-089-H/094-H-07 001,CD,2445,NULL,NULL,1-Feb-94,NULL,1-Apr-89,1-Feb-94,Gas,PP
1333, OAK 11-20-086-18 001,B,8271,NULL,NULL,20-Jan-95,NULL,1-Dec-93,1-Jan-95,Oil,PP
229,CNRL DAHL C-089-H/094-H-07 001,CD,3457,NULL,NULL,1-Feb-94,NULL,1-Apr-89,1-Feb-94,Gas,PP
229,CNRL DAHL C-089-H/094-H-07 001,CD,4395,NULL,NULL,1-Feb-94,NULL,1-Apr-89,1-Feb-94,Gas,PP
229,CNRL DAHL C-089-H/094-H-07 001,CD,5223,NULL,NULL,1-Feb-94,NULL,1-Apr-89,1-Feb-94,Gas,PP
381,CNRL EAGLE 03-06-085-18 001,SB,6442,NULL,NULL,NULL,NULL,1-Apr-89,1-Oct-90,Oil,PP
381,CNRL EAGLE 03-06-085-18 001,SB,6414,NULL,NULL,NULL,NULL,1-Apr-89,NULL,Oil,PP
381,CNRL EAGLE 03-06-085-18 001,SB,4596,NULL,NULL,NULL,NULL,1-Apr-89,NULL,Oil,PP
381,CNRL EAGLE 03-06-085-18 001,SB,6413,NULL,NULL,NULL,NULL,1-Apr-89,NULL,Oil,PP
381,CNRL EAGLE 03-06-085-18 001,SB,4142,NULL,NULL,NULL,NULL,1-Apr-89,NULL,Oil,PP
381,CNRL EAGLE 03-06-085-18 001,SB,6411,NULL,NULL,NULL,NULL,1-Apr-89,1-Oct-90,Oil,PP
384,CNRL EAGLE 06-11-085-19 001,SB,4154,NULL,NULL,NULL,NULL,1-Apr-89,NULL,Oil,PP
384,CNRL EAGLE 06-11-085-19 001,SB,6495,NULL,NULL,NULL,NULL,1-Apr-89,NULL,Oil,PP
384,CNRL EAGLE 06-11-085-19 001,SB,5010,NULL,NULL,NULL,NULL,1-Apr-89,NULL,Oil,PP
384,CNRL EAGLE 06-11-085-19 001,SB,4986,NULL,NULL,NULL,NULL,1-Apr-89,NULL,Oil,PP
385,CNRL EAGLE 15-25-084-19 001,SB,5412,NULL,NULL,NULL,NULL,1-Apr-89,NULL,Oil,PP
385,CNRL EAGLE 15-25-084-19 001,SB,6441,NULL,NULL,NULL,NULL,1-Apr-89,1-Oct-90,Oil,PP
387,CNRL EAGLE 02-26-084-18 001,SB,6405,NULL,NULL,NULL,NULL,1-Apr-89,NULL,Oil,PP
387,CNRL EAGLE 02-26-084-18 001,SB,7501,NULL,NULL,NULL,NULL,1-Mar-91,NULL,Oil,PP
387,CNRL EAGLE 02-26-084-18 001,SB,5859,NULL,NULL,NULL,NULL,1-Apr-89,NULL,Oil,PP
387,CNRL EAGLE 02-26-084-18 001,SB,5855,NULL,NULL,NULL,NULL,1-Apr-89,NULL,Oil,PP
387,CNRL EAGLE 02-26-084-18 001,SB,5802,NULL,NULL,NULL,NULL,1-Apr-89,NULL,Oil,PP
388,CNRL EAGLE 16-23-084-18 001,SB,6436,NULL,NULL,NULL,NULL,1-Apr-89,NULL,Oil,PP
388,CNRL EAGLE 16-23-084-18 001,SB,5877,NULL,NULL,NULL,NULL,1-Apr-89,NULL,Oil,PP
388,CNRL EAGLE 16-23-084-18 001,SB,5903,NULL,NULL,NULL,NULL,1-Apr-89,NULL,Oil,PP
388,CNRL EAGLE 16-23-084-18 001,SB,5867,NULL,NULL,NULL,NULL,1-Apr-89,NULL,Oil,PP
388,CNRL EAGLE 16-23-084-18 001,SB,5844,NULL,NULL,NULL,NULL,1-Apr-89,NULL,Oil,PP
390,CNRL STODDART 14-04-086-20 001,SB,5661,NULL,NULL,NULL,NULL,1-Apr-89,NULL,Oil,PP
390,CNRL STODDART 14-04-086-20 001,SB,5745,NULL,NULL,NULL,NULL,1-Apr-89,NULL,Oil,PP
390,CNRL STODDART 14-04-086-20 001,SB,5745,NULL,NULL,NULL,NULL,1-Apr-89,NULL,Oil,PP
390,CNRL STODDART 14-04-086-20 001,SB,6706,NULL,NULL,NULL,NULL,1-Apr-89,NULL,Oil,PP
390,CNRL STODDART 14-04-086-20 001,SB,7790,NULL,NULL,NULL,NULL,1-Apr-92,NULL,Oil,PP
390,CNRL STODDART 14-04-086-20 001,SB,7790,NULL,NULL,NULL,NULL,1-Feb-93,NULL,Oil,PP
390,CNRL STODDART 14-04-086-20 001,SB,5346,NULL,NULL,NULL,NULL,1-Apr-89,NULL,Oil,PP
390,CNRL STODDART 14-04-086-20 001,SB,5738,NULL,NULL,NULL,NULL,1-Apr-89,NULL,Oil,PP
390,CNRL STODDART 14-04-086-20 001,SB,5437,NULL,NULL,NULL,NULL,1-Apr-89,NULL,Oil,PP
390,CNRL STODDART 14-04-086-20 001,SB,6693,NULL,NULL,NULL,NULL,1-Apr-89,NULL,Oil,PP
391,ROGCI PEEJAY D-100-H/094-A-15 002,B,6288,NULL,NULL,1-Feb-97,NULL,1-Apr-89,1-Feb-97,Oil,PP
391,ROGCI PEEJAY D-100-H/094-A-15 002,B,6337,NULL,NULL,1-Feb-97,NULL,1-Apr-89,1-Oct-93,Oil,PP
393,ESSO BOUNDARYLAKE 05-08-086-13 001,SB,6456,NULL,NULL,31-Aug-89,NULL,1-Apr-89,1-Aug-89,Oil,PP
393,ESSO BOUNDARYLAKE 05-08-086-13 001,SB,2476,NULL,NULL,31-Aug-89,NULL,1-Apr-89,1-Aug-89,Oil,PP
393,ESSO BOUNDARYLAKE 05-08-086-13 001,SB,949,NULL,NULL,31-Aug-89,NULL,1-Apr-89,1-Aug-89,Oil,PP
393,ESSO BOUNDARYLAKE 05-08-086-13 001,SB,918,NULL,NULL,31-Aug-89,NULL,1-Apr-89,1-Aug-89,Oil,PP
393,ESSO BOUNDARYLAKE 05-08-086-13 001,SB,953,NULL,NULL,31-Aug-89,NULL,1-Apr-89,1-Aug-89,Oil,PP
393,ESSO BOUNDARYLAKE 05-08-086-13 001,SB,898,NULL,NULL,31-Aug-89,NULL,1-Apr-89,1-Aug-89,Oil,PP
393,ESSO BOUNDARYLAKE 05-08-086-13 001,SB,604,NULL,NULL,31-Aug-89,NULL,1-Apr-89,1-Aug-89,Oil,PP
393,ESSO BOUNDARYLAKE 05-08-086-13 001,SB,962,NULL,NULL,31-Aug-89,NULL,1-Apr-89,1-Aug-89,Oil,PP
1664,PARA (ACL) OAK 04-33-086-17 001,B,8744,NULL,NULL,1-Jul-98,NULL,1-Oct-94,1-Jun-98,Oil,PP
1665,CALPINE STODDART 04-01-086-20 001,B,8879,NULL,NULL,1-Dec-99,NULL,1-Oct-94,1-Nov-99,Oil,PP
1666,ORPHAN STODDART 09-36-085-19 001,B,8409,NULL,NULL,NULL,NULL,1-Oct-94,NULL,Oil,PP
1667,ROGCI FLATROCKWEST 06-17-085-17 001,B,8794,NULL,NULL,28-Apr-95,NULL,1-Oct-94,1-Apr-95,Oil,PP
1668,ESSO SUNSETPRAIRIE 04-30-079-18 001,B,8859,NULL,NULL,1-Jul-97,NULL,1-Oct-94,1-Jul-97,Oil,PP
2558,CNRL ZAREMBA D-051-A/094-H-06 001,B,10414,NULL,NULL,NULL,NULL,1-Mar-97,NULL,Oil,PP
2574,SUN OIL PARADISE 05-27-085-15 001,B,10284,NULL,NULL,NULL,NULL,1-Mar-97,NULL,Oil,PP
2574,SUN OIL PARADISE 05-27-085-15 001,B,10284,NULL,NULL,NULL,NULL,1-Mar-97,NULL,Gas,PP
2578,CNRL REDCREEK 13-03-085-21 001,B,10108,NULL,NULL,1-Oct-98,NULL,1-Feb-97,1-Sep-98,Oil,PP
2579,CNRL SIPHON 08-23-087-16 001,PG,6052,NULL,NULL,NULL,NULL,1-Mar-97,NULL,Gas,PP
2582,WHITECAP BOUNDARYLAKE 08-01-084-14 001,B,10235,NULL,NULL,NULL,NULL,1-Feb-97,NULL,Oil,PP
1513,CNRL DRAKE B-074-E/094-H-01 001,CD,19734,NULL,NULL,NULL,NULL,NULL,NULL,Gas,PP
1513,CNRL DRAKE B-074-E/094-H-01 001,CD,19750,NULL,NULL,NULL,NULL,NULL,NULL,Gas,PP
1513,CNRL DRAKE B-074-E/094-H-01 001,CD,19977,NULL,NULL,NULL,NULL,NULL,NULL,Gas,PP
1513,CNRL DRAKE B-074-E/094-H-01 001,CD,21878,NULL,NULL,NULL,NULL,NULL,NULL,Gas,PP
1513,CNRL DRAKE B-074-E/094-H-01 001,CD,21879,NULL,NULL,NULL,NULL,NULL,NULL,Gas,PP
1513,CNRL DRAKE B-074-E/094-H-01 001,CD,22010,NULL,NULL,NULL,NULL,1-Apr-07,NULL,Gas,PP
1513,CNRL DRAKE B-074-E/094-H-01 001,CD,22010,NULL,NULL,NULL,NULL,NULL,NULL,Gas,PP
1513,CNRL DRAKE B-074-E/094-H-01 001,CD,22034,NULL,NULL,NULL,NULL,1-Mar-07,NULL,Gas,PP
