FACILITYID,FACILITYNAME,FACILITYTYPE_CODE,FROMWANUM,FROMFACILITYID,CANCELDATE,REMOVALDATE,SUSPENDEDDATE,EFFECTIVEDATE,TERMINATIONDATE,LINKAGEPRODUCT,LINKAGETYPE
1513,CNRL DRAKE B-074-E/094-H-01 001,CD,22034,NULL,NULL,NULL,NULL,NULL,NULL,Gas,PP
1623,CNRL PEEJAY C-100-H/094-A-15 001,B,8835,NULL,NULL,NULL,NULL,1-Sep-94,1-Dec-06,Oil,PP
1623,CNRL PEEJAY C-100-H/094-A-15 001,B,8835,NULL,NULL,NULL,NULL,1-Jul-07,NULL,Oil,PP
2879,CNRL WEASEL D-018-B/094-H-02 002,B,2789,NULL,NULL,NULL,NULL,1-Nov-97,NULL,Gas,PP
2879,CNRL WEASEL D-018-B/094-H-02 002,B,22202,NULL,NULL,NULL,NULL,1-Apr-07,NULL,Gas,PP
2654,KELT LNG STODDARTWEST 06-29-087-21 001,B,10470,NULL,NULL,NULL,NULL,1-Apr-97,1-Jun-97,Oil,PP
2655,CNRL REDCREEKNORTH 10-05-086-21 001,B,10170,NULL,NULL,NULL,NULL,1-Apr-97,1-Nov-98,Oil,PP
2656,KELT LNG STODDARTWEST 01-29-087-21 001,B,10485,NULL,NULL,NULL,NULL,1-Apr-97,1-Jun-97,Oil,PP
2657,CNRL BUICKCREEK D-065-A/094-A-14 001,B,10422,NULL,NULL,1-Dec-97,NULL,1-May-97,1-Dec-97,Oil,PP
2658,CNRL BUICKCREEK A-074-A/094-A-14 001,B,10423,NULL,NULL,NULL,NULL,1-May-97,NULL,Oil,PP
1083,CNRL WILDMINT A-005-H/094-H-02 002,CS,2296,NULL,NULL,NULL,NULL,1-Mar-97,1-Apr-98,Gas,PP
3868,CNRL FLATROCK 10-08-085-17 001,B,12637,NULL,NULL,NULL,NULL,1-Jan-00,1-Feb-14,Oil,PP
3876,DEVON MUSKRAT 14-12-087-18 003,B,11914,NULL,NULL,1-Apr-00,NULL,1-Jan-00,1-Mar-00,Oil,PP
3573,CNRL HALFWAY 05-12-087-25 001,B2,6938,NULL,NULL,NULL,NULL,1-Dec-98,NULL,Oil,PP
3573,CNRL HALFWAY 05-12-087-25 001,B2,10334,NULL,NULL,NULL,NULL,1-Mar-99,NULL,Gas,PP
3573,CNRL HALFWAY 05-12-087-25 001,B2,10334,NULL,NULL,NULL,NULL,1-Mar-99,NULL,Gas,PP
3573,CNRL HALFWAY 05-12-087-25 001,B2,10512,NULL,NULL,NULL,NULL,1-Mar-99,NULL,Gas,PP
3573,CNRL HALFWAY 05-12-087-25 001,B2,10512,NULL,NULL,NULL,NULL,1-Mar-99,NULL,Gas,PP
3573,CNRL HALFWAY 05-12-087-25 001,B2,11436,NULL,NULL,NULL,NULL,1-Dec-98,NULL,Oil,PP
3573,CNRL HALFWAY 05-12-087-25 001,B2,12006,NULL,NULL,NULL,NULL,1-Oct-00,NULL,Gas,PP
3573,CNRL HALFWAY 05-12-087-25 001,B2,11436,NULL,NULL,NULL,NULL,1-Apr-01,NULL,Gas,PP
3573,CNRL HALFWAY 05-12-087-25 001,B2,11436,NULL,NULL,NULL,NULL,1-Apr-01,NULL,Gas,PP
3573,CNRL HALFWAY 05-12-087-25 001,B2,11521,NULL,NULL,NULL,NULL,1-May-99,NULL,Gas,PP
3573,CNRL HALFWAY 05-12-087-25 001,B2,12008,NULL,NULL,NULL,NULL,1-Mar-99,NULL,Oil,PP
3573,CNRL HALFWAY 05-12-087-25 001,B2,12008,NULL,NULL,NULL,NULL,1-Sep-99,NULL,Oil,PP
3573,CNRL HALFWAY 05-12-087-25 001,B2,12053,NULL,NULL,NULL,NULL,1-Oct-01,NULL,Gas,PP
3573,CNRL HALFWAY 05-12-087-25 001,B2,12056,NULL,NULL,NULL,NULL,1-Apr-99,1-Jul-00,Oil,PP
3573,CNRL HALFWAY 05-12-087-25 001,B2,12089,NULL,NULL,NULL,NULL,1-Mar-99,NULL,Gas,PP
3573,CNRL HALFWAY 05-12-087-25 001,B2,12089,NULL,NULL,NULL,NULL,1-Dec-99,NULL,Gas,PP
3573,CNRL HALFWAY 05-12-087-25 001,B2,12143,NULL,NULL,NULL,NULL,1-Aug-99,NULL,Oil,PP
3573,CNRL HALFWAY 05-12-087-25 001,B2,12143,NULL,NULL,NULL,NULL,1-Jul-00,NULL,Gas,PP
3573,CNRL HALFWAY 05-12-087-25 001,B2,12691,NULL,NULL,NULL,NULL,1-Mar-02,NULL,Gas,PP
3573,CNRL HALFWAY 05-12-087-25 001,B2,12691,NULL,NULL,NULL,NULL,1-Jul-05,NULL,Gas,PP
3573,CNRL HALFWAY 05-12-087-25 001,B2,12691,NULL,NULL,NULL,NULL,NULL,NULL,Gas,PP
3573,CNRL HALFWAY 05-12-087-25 001,B2,14073,NULL,NULL,NULL,NULL,1-Nov-01,NULL,Gas,PP
3573,CNRL HALFWAY 05-12-087-25 001,B2,14073,NULL,NULL,NULL,NULL,1-Nov-01,NULL,Gas,PP
3573,CNRL HALFWAY 05-12-087-25 001,B2,14958,NULL,NULL,NULL,NULL,NULL,NULL,Gas,PP
3573,CNRL HALFWAY 05-12-087-25 001,B2,14969,NULL,NULL,NULL,NULL,1-Apr-02,NULL,Gas,PP
3573,CNRL HALFWAY 05-12-087-25 001,B2,15850,NULL,NULL,NULL,NULL,1-Feb-05,NULL,Gas,PP
3573,CNRL HALFWAY 05-12-087-25 001,B2,15858,NULL,NULL,NULL,NULL,1-Feb-05,NULL,Gas,PP
3573,CNRL HALFWAY 05-12-087-25 001,B2,15858,NULL,NULL,NULL,NULL,1-Nov-05,NULL,Gas,PP
3573,CNRL HALFWAY 05-12-087-25 001,B2,19753,NULL,NULL,NULL,NULL,1-Jan-06,NULL,Gas,PP
3573,CNRL HALFWAY 05-12-087-25 001,B2,21819,NULL,NULL,NULL,NULL,NULL,NULL,Gas,PP
3573,CNRL HALFWAY 05-12-087-25 001,B2,21820,NULL,NULL,NULL,NULL,NULL,NULL,Gas,PP
3573,CNRL HALFWAY 05-12-087-25 001,B2,22436,NULL,NULL,NULL,NULL,NULL,NULL,Gas,PP
3573,CNRL HALFWAY 05-12-087-25 001,B2,22438,NULL,NULL,NULL,NULL,NULL,NULL,Gas,PP
1593, STAR PINE 07-06-077-25 003,GP,4572,NULL,NULL,3-Aug-94,NULL,NULL,1-Aug-94,Gas,PP
709,PROGRESS BLUEBERRY D-087-D/094-A-13 003,CD,26621,NULL,NULL,NULL,NULL,NULL,NULL,Gas,PP
709,PROGRESS BLUEBERRY D-087-D/094-A-13 003,CD,27282,NULL,NULL,NULL,NULL,NULL,1-Dec-11,Gas,PP
709,PROGRESS BLUEBERRY D-087-D/094-A-13 003,CD,27579,NULL,NULL,NULL,NULL,1-Feb-12,NULL,Gas,PP
709,PROGRESS BLUEBERRY D-087-D/094-A-13 003,CD,NULL,142,NULL,NULL,NULL,1-Jul-94,1-Apr-95,Gas,PP
709,PROGRESS BLUEBERRY D-087-D/094-A-13 003,CD,NULL,143,NULL,NULL,NULL,1-Jul-94,1-Apr-95,Gas,PP
3783,PREDATOR OIL BC BUICKCREEK B-004-B/094-A-14 003,CD,12153,NULL,NULL,NULL,NULL,1-Nov-99,NULL,Gas,PP
435,PREDATOR OIL BC BUICKCREEK D-093-K/094-A-11 002,CD,89,NULL,NULL,NULL,NULL,1-Apr-89,NULL,Gas,PP
435,PREDATOR OIL BC BUICKCREEK D-093-K/094-A-11 002,CD,99,NULL,NULL,NULL,NULL,1-Apr-89,NULL,Gas,PP
439,WESTCOAST MCMAHON 15-25-082-18 001,GP,NULL,8152,NULL,NULL,NULL,1-Apr-89,NULL,Gas,PP
709,PROGRESS BLUEBERRY D-087-D/094-A-13 003,CD,NULL,1263,NULL,NULL,NULL,1-Apr-94,1-Apr-95,Gas,PP
709,PROGRESS BLUEBERRY D-087-D/094-A-13 003,CD,NULL,8494,NULL,NULL,NULL,1-Nov-10,NULL,Gas,PP
709,PROGRESS BLUEBERRY D-087-D/094-A-13 003,CD,NULL,7675,NULL,NULL,NULL,1-Nov-10,NULL,Gas,PP
709,PROGRESS BLUEBERRY D-087-D/094-A-13 003,CD,26894,NULL,NULL,NULL,NULL,1-Mar-14,NULL,Gas,PP
709,PROGRESS BLUEBERRY D-087-D/094-A-13 003,CD,9866,NULL,NULL,NULL,NULL,1-Jul-14,NULL,Gas,PP
709,PROGRESS BLUEBERRY D-087-D/094-A-13 003,CD,17612,NULL,NULL,NULL,NULL,1-Jul-14,NULL,Gas,PP
709,PROGRESS BLUEBERRY D-087-D/094-A-13 003,CD,17612,NULL,NULL,NULL,NULL,1-Jul-14,NULL,Gas,PP
709,PROGRESS BLUEBERRY D-087-D/094-A-13 003,CD,175,NULL,NULL,NULL,NULL,1-Jul-14,NULL,Gas,PP
709,PROGRESS BLUEBERRY D-087-D/094-A-13 003,CD,22690,NULL,NULL,NULL,NULL,1-Jul-14,NULL,Gas,PP
709,PROGRESS BLUEBERRY D-087-D/094-A-13 003,CD,22690,NULL,NULL,NULL,NULL,1-Jul-14,NULL,Gas,PP
