area,351,361,362,363,364,365,366,367,311,321,322
BC,,,22.0,,,,,,,,
BV,11.0,335.0,328.0,,870.0,,,,23.0,,33.0
DV,877.0,7542.0,1126.0,3.0,10.0,79.0,,,615.0,71.0,4779.0
EDM,331.0,1430.0,767.0,,252.0,83.0,,173.0,318.0,82.0,3140.0
FTM,,31.0,,,40.0,,,,,,
GP,431.0,1896.0,5896.0,,1025.0,1.0,,12.0,476.0,73.0,4124.0
MDP,239.0,1613.0,557.0,875.0,11066.0,35.0,113.0,58.0,487.0,23.0,1000.0
MH,190.0,1240.0,,34252.0,9069.0,,47.0,15.0,435.0,30.0,4214.0
RD,1590.0,6532.0,530.0,375.0,5799.0,149.0,,99.0,798.0,175.0,3707.0
SL,8.0,136.0,155.0,,71.0,,,,275.0,32.0,1367.0
WW,146.0,2000.0,503.0,52.0,1012.0,,,,1000.0,374.0,5152.0
