area,351,361,362,363,364,311,321,322
BC,,,2.0,,,,,
BV,7.0,17.0,5.0,,29.0,14.0,,4.0
DV,723.0,430.0,79.0,1.0,1.0,476.0,29.0,317.0
EDM,256.0,174.0,31.0,,19.0,203.0,32.0,190.0
GP,332.0,243.0,139.0,,6.0,351.0,25.0,220.0
MDP,190.0,141.0,21.0,43.0,103.0,387.0,10.0,105.0
MH,134.0,116.0,,195.0,48.0,308.0,13.0,207.0
RD,1336.0,623.0,39.0,9.0,164.0,654.0,57.0,257.0
SL,5.0,2.0,3.0,,3.0,212.0,13.0,83.0
WW,96.0,115.0,4.0,2.0,33.0,685.0,123.0,258.0
