,LinkedFacilitySubType,facility_componentcount_total
0,351,110.21827399999998
1,361,110.21827399999998
2,362,262.70894699999997
3,363,87.01154299999999
4,364,503.26512199999996
5,311,71.468725
6,321,70.696653
7,322,374.59346400000004
